			Incarcerated population by race/ethnicity in Census 2010- men plus women (18+)																																Incarcerated population by race/ethnicity in Census 2010- men																																Incarcerated population by race/ethnicity in Census 2010- women 																															
			"Correctional data, 18+"										~	"Comparable data for the entire country, all ages"										~	"Incarceration rates per 100,000"										"Correctional data, 18+"										~	"Comparable data for the entire country, all ages"										~	"Incarceration rates per 100,000"										"Correctional data, 18+"										~	"Comparable data for the entire country, all ages"										~	"Incarceration rates per 100,000"									
GEOID	GEOID2	Geography	Total : In Correctional Facilities for Adults	White alone : in Correctional Facilities for Adults	Black or African American alone : in Correctional Facilities for Adults	American Indian and Alaska Native alone : in Correctional Facilities for Adults	Asian alone : in Correctional Facilities for Adults	Native Hawaiian and other Pacific Islander alone : in Correctional Facilities for Adults	Some other race alone : in Correctional Facilities for Adults	Two or more races : in Correctional Facilities for Adults	Hispanic or Latino : in Correctional Facilities for Adults	"White alone, not Hispanic or Latino : in Correctional Facilities for Adults"		Total Population	Total Population: White alone	Total Population: Black or African American alone	Total Population: American Indian and Alaska Native alone	Total Population: Asian alone	Total Population: Native Hawaiian and other Pacific Islander alone	Total Population: Some other race alone	Total Population: Two or more races	Total Population: Hispanic or Latino	"Total Population: White alone, not Hispanic or Latino"		Incarceration rate	Incarceration rate: White alone	Incarceration rate: Black or African American alone	Incarceration rate: American Indian and Alaska Native alone	Incarceration rate: Asian alone	Incarceration rate: Native Hawaiian and other Pacific Islander alone	Incarceration rate: Some other race alone	Incarceration rate: Two or more races	Incarceration rate: Hispanic or Latino	"Incarceration rate: White alone, not Hispanic or Latino"	Total Men : In Correctional Facilities for Adults	White alone: in Correctional Facilities for Adults : Men	Black or African American alone: in Correctional Facilities for Adults : Men	American Indian and Alaska Native alone: in Correctional Facilities for Adults : Men	Asian alone: in Correctional Facilities for Adults : Men	Native Hawaiian and other Pacific Islander alone: in Correctional Facilities for Adults : Men	Some other race alone: in Correctional Facilities for Adults : Men	Two or more races: in Correctional Facilities for Adults : Men	Hispanic or Latino: in Correctional Facilities for Adults : Men	"White alone, not Hispanic or Latino: in Correctional Facilities for Adults : Men"		Total Population: Male	Total Population: White alone: Male	Total Population: Black or African American alone: Male	Total Population: American Indian and Alaska Native alone: Male	Total Population: Asian alone: Male	Total Population: Native Hawaiian and other Pacific Islander alone: Male	Total Population: Some other race alone: Male	Total Population: Two or more races: Male	Total Population: Hispanic or Latino: Male	"Total Population: White alone, not Hispanic or Latino: Male"		Male incarceration rate	Male incarceration rate: White alone	Male incarceration rate: Black or African American alone	Male incarceration rate: American Indian and Alaska Native alone	Male incarceration rate: Asian alone	Male incarceration rate: Native Hawaiian and other Pacific Islander alone	Male incarceration rate: Some other race alone	Male incarceration rate: Two or more races	Male incarceration rate: Hispanic or Latino	"Male incarceration rate: White alone, not Hispanic or Latino"	Total Women : In Correctional Facilities for Adults	White alone: in Correctional Facilities for Adults : Women	Black or African American alone: in Correctional Facilities for Adults : Women	American Indian and Alaska Native alone: in Correctional Facilities for Adults : Women	Asian alone: in Correctional Facilities for Adults : Women	Native Hawaiian and other Pacific Islander alone: in Correctional Facilities for Adults : Women	Some other race alone: in Correctional Facilities for Adults : Women	Two or more races: in Correctional Facilities for Adults : Women	Hispanic or Latino: in Correctional Facilities for Adults : Women	"White alone, not Hispanic or Latino: in Correctional Facilities for Adults : Women"		Total Population: Female	Total Population: White alone: Female	Total Population: Black or African American alone: Female	Total Population: American Indian and Alaska Native alone: Female	Total Population: Asian alone: Female	Total Population: Native Hawaiian and other Pacific Islander alone: Female	Total Population: Some other race alone: Female	Total Population: Two or more races: Female	Total Population: Hispanic or Latino: Female	"Total Population: White alone, not Hispanic or Latino: Female"		Female incarceration rate	Female incarceration rate: White alone	Female incarceration rate: Black or African American alone	Female incarceration rate: American Indian and Alaska Native alone	Female incarceration rate: Asian alone	Female incarceration rate: Native Hawaiian and other Pacific Islander alone	Female incarceration rate: Some other race alone	Female incarceration rate: Two or more races	Female incarceration rate: Hispanic or Latino	"Female incarceration rate: White alone, not Hispanic or Latino"
0100000US		United States	"2,251,959"	"1,135,432"	"891,537"	"37,656"	"16,857"	"5,479"	"142,356"	"22,642"	"417,502"	"882,906"		"308,745,538"	"223,553,265"	"38,929,319"	"2,932,248"	"14,674,252"	"540,013"	"19,107,368"	"9,009,073"	"50,477,594"	"196,817,552"		729	508	"2,290"	"1,284"	115	"1,015"	745	251	827	449	"2,048,575"	"1,009,101"	"833,465"	"32,524"	"14,958"	"4,762"	"134,063"	"19,702"	"388,962"	"774,896"		"151,781,326"	"110,153,564"	"18,563,970"	"1,463,339"	"6,970,931"	"274,053"	"9,911,884"	"4,443,585"	"25,618,800"	"96,766,981"		"1,350"	916	"4,490"	"2,223"	215	"1,738"	"1,353"	443	"1,518"	801	"203,384"	"126,331"	"58,072"	"5,132"	"1,899"	717	"8,293"	"2,940"	"28,540"	"108,010"		"156,964,212"	"113,399,701"	"20,365,349"	"1,468,909"	"7,703,321"	"265,960"	"9,195,484"	"4,565,488"	"24,858,794"	"100,050,571"		130	111	285	349	25	270	90	64	115	108
0400000US01	01	Alabama	"41,040"	"18,057"	"22,271"	80	57	3	282	290	"1,420"	"17,126"		"4,779,736"	"3,275,394"	"1,251,311"	"28,218"	"53,595"	"3,057"	"96,910"	"71,251"	"185,602"	"3,204,402"		859	551	"1,780"	284	106	98	291	407	765	534	"35,851"	"14,746"	"20,508"	66	50	2	258	221	"1,122"	"14,073"		"2,320,188"	"1,605,447"	"582,480"	"14,050"	"25,329"	"1,658"	"56,267"	"34,957"	"103,783"	"1,567,237"		"1,545"	918	"3,521"	470	197	121	459	632	"1,081"	898	"5,189"	"3,311"	"1,763"	14	7	1	24	69	298	"3,053"		"2,459,548"	"1,669,947"	"668,831"	"14,168"	"28,266"	"1,399"	"40,643"	"36,294"	"81,819"	"1,637,165"		211	198	264	99	25	71	59	190	364	186
0400000US02	02	Alaska	"4,106"	"1,785"	290	"1,548"	44	45	29	365	246	"1,658"		"710,231"	"473,576"	"23,263"	"104,871"	"38,135"	"7,409"	"11,102"	"51,875"	"39,249"	"455,320"		578	377	"1,247"	"1,476"	115	607	261	704	627	364	"3,499"	"1,507"	267	"1,320"	42	40	26	297	203	"1,411"		"369,628"	"250,183"	"12,899"	"52,967"	"17,828"	"3,785"	"5,897"	"26,069"	"20,128"	"240,967"		947	602	"2,070"	"2,492"	236	"1,057"	441	"1,139"	"1,009"	586	607	278	23	228	2	5	3	68	43	247		"340,603"	"223,393"	"10,364"	"51,904"	"20,307"	"3,624"	"5,205"	"25,806"	"19,121"	"214,353"		178	124	222	439	10	138	58	264	225	115
0400000US04	04	Arizona	"66,929"	"35,703"	"8,142"	"6,653"	"1,130"	"1,029"	"12,701"	"1,571"	"27,132"	"23,138"		"6,392,017"	"4,667,121"	"259,008"	"296,529"	"176,695"	"12,648"	"761,716"	"218,300"	"1,895,149"	"3,695,647"		"1,047"	765	"3,144"	"2,244"	640	"8,136"	"1,667"	720	"1,432"	626	"60,302"	"31,793"	"7,475"	"5,924"	"1,048"	"1,024"	"11,630"	"1,408"	"24,781"	"20,278"		"3,175,823"	"2,309,076"	"135,780"	"145,277"	"82,181"	"6,963"	"387,720"	"108,826"	"951,790"	"1,826,596"		"1,899"	"1,377"	"5,505"	"4,078"	"1,275"	"14,706"	"3,000"	"1,294"	"2,604"	"1,110"	"6,627"	"3,910"	667	729	82	5	"1,071"	163	"2,351"	"2,860"		"3,216,194"	"2,358,045"	"123,228"	"151,252"	"94,514"	"5,685"	"373,996"	"109,474"	"943,359"	"1,869,051"		206	166	541	482	87	88	286	149	249	153
0400000US05	05	Arkansas	"25,751"	"13,809"	"10,887"	167	115	10	552	211	"1,698"	"12,855"		"2,915,918"	"2,245,229"	"449,895"	"22,248"	"36,102"	"5,863"	"99,571"	"57,010"	"186,050"	"2,173,469"		883	615	"2,420"	751	319	171	554	370	913	591	"23,298"	"12,076"	"10,262"	135	108	8	532	177	"1,623"	"11,165"		"1,431,637"	"1,104,561"	"213,744"	"10,986"	"16,942"	"3,039"	"54,213"	"28,152"	"99,253"	"1,067,113"		"1,627"	"1,093"	"4,801"	"1,229"	637	263	981	629	"1,635"	"1,046"	"2,453"	"1,733"	625	32	7	2	20	34	75	"1,690"		"1,484,281"	"1,140,668"	"236,151"	"11,262"	"19,160"	"2,824"	"45,358"	"28,858"	"86,797"	"1,106,356"		165	152	265	284	37	71	44	118	86	153
0400000US06	06	California	"256,407"	"129,785"	"69,710"	"3,611"	"4,581"	889	"44,416"	"3,415"	"105,839"	"67,735"		"37,253,956"	"21,453,934"	"2,299,072"	"362,801"	"4,861,007"	"144,386"	"6,317,372"	"1,815,384"	"14,013,719"	"14,956,253"		688	605	"3,032"	995	94	616	703	188	755	453	"234,158"	"117,801"	"64,392"	"3,053"	"3,996"	757	"41,351"	"2,808"	"98,264"	"60,144"		"18,517,830"	"10,705,607"	"1,136,385"	"183,399"	"2,300,369"	"71,741"	"3,220,187"	"900,142"	"7,080,128"	"7,445,722"		"1,265"	"1,100"	"5,666"	"1,665"	174	"1,055"	"1,284"	312	"1,388"	808	"22,249"	"11,984"	"5,318"	558	585	132	"3,065"	607	"7,575"	"7,591"		"18,736,126"	"10,748,327"	"1,162,687"	"179,402"	"2,560,638"	"72,645"	"3,097,185"	"915,242"	"6,933,591"	"7,510,531"		119	111	457	311	23	182	99	66	109	101
0400000US08	08	Colorado	"40,465"	"28,609"	"7,339"	"1,643"	381	49	"1,825"	619	"13,246"	"17,913"		"5,029,196"	"4,089,202"	"201,737"	"56,010"	"139,028"	"6,623"	"364,140"	"172,456"	"1,038,687"	"3,520,793"		805	700	"3,638"	"2,933"	274	740	501	359	"1,275"	509	"36,783"	"25,864"	"6,811"	"1,496"	350	41	"1,679"	542	"12,145"	"16,036"		"2,520,662"	"2,045,401"	"106,715"	"28,448"	"63,132"	"3,356"	"187,965"	"85,645"	"529,799"	"1,756,868"		"1,459"	"1,264"	"6,382"	"5,259"	554	"1,222"	893	633	"2,292"	913	"3,682"	"2,745"	528	147	31	8	146	77	"1,101"	"1,877"		"2,508,534"	"2,043,801"	"95,022"	"27,562"	"75,896"	"3,267"	"176,175"	"86,811"	"508,888"	"1,763,925"		147	134	556	533	41	245	83	89	216	106
0400000US09	09	Connecticut	"20,054"	"7,107"	"8,184"	86	125	49	"4,248"	255	"5,725"	"6,140"		"3,574,097"	"2,772,410"	"362,296"	"11,256"	"135,565"	"1,428"	"198,466"	"92,676"	"479,087"	"2,546,262"		561	256	"2,259"	764	92	"3,431"	"2,140"	275	"1,195"	241	"17,429"	"5,812"	"7,379"	60	74	45	"3,889"	170	"4,921"	"5,185"		"1,739,614"	"1,348,331"	"172,664"	"5,647"	"65,539"	733	"101,314"	"45,386"	"239,396"	"1,236,868"		"1,002"	431	"4,274"	"1,063"	113	"6,139"	"3,839"	375	"2,056"	419	"2,625"	"1,295"	805	26	51	4	359	85	804	955		"1,834,483"	"1,424,079"	"189,632"	"5,609"	"70,026"	695	"97,152"	"47,290"	"239,691"	"1,309,394"		143	91	425	464	73	576	370	180	335	73
